round,accuracy,fl
2,0.212300003,137.6934667
3,0.379400015,140.1106576
4,0.414400011,138.1130687
5,0.429500014,140.6065969
6,0.442099988,138.8818232
7,0.456200004,138.0555352
8,0.469000012,140.8020773
9,0.476200014,138.3919891
10,0.484600008,142.2633458
11,0.493099988,139.4847033
,0.425680006,139.4403264
