round,accuracy,fl
2,0.677299976,109.3794448
3,0.720499992,109.1762841
4,0.739300013,109.8280005
5,0.750500023,107.7778672
6,0.7579,110.6179059
7,0.764199972,108.36374
8,0.770200014,109.3414785
9,0.777199984,109.7624706
10,0.78549999,111.9425573
11,0.792800009,110.162688
,0.753539997,109.6352437
