round,accuracy,fl
2,0.195874304,196.7237456
3,0.326866925,207.0429386
4,0.512638271,197.2306532
5,0.613283634,198.4952607
6,0.679394603,199.710715
7,0.717155814,198.5013317
8,0.738706231,199.7828338
9,0.751114011,199.3552141
10,0.75864321,196.3810196
11,0.762599885,198.622711
,0.605627689,199.1846423
