round,accuracy,fl
2,0.1998,120.3098396
3,0.262699991,120.9083804
4,0.341300011,120.0081478
5,0.371699989,121.6401384
6,0.381199986,120.5715693
7,0.386599988,122.0062945
8,0.393700004,121.8415604
9,0.388900012,121.8584318
10,0.383300006,123.5108195
11,0.370499998,121.8225228
,0.347969998,121.4477704
